freq,psd_x,psd_y,psd_z,psd_xyz,zv(70.4),mzv(55.8),ei(69.0),2hump_ei(65.4),3hump_ei(57.8)
184.2,3.563e-01,5.279e-01,4.480e-01,1.332e+00,0.419,0.271,0.144,0.051,0.033
185.8,4.304e-01,5.095e-01,4.718e-01,1.412e+00,0.399,0.251,0.137,0.050,0.034
187.4,5.235e-01,5.351e-01,4.197e-01,1.478e+00,0.380,0.231,0.130,0.049,0.035
188.9,5.710e-01,6.189e-01,3.935e-01,1.583e+00,0.369,0.220,0.124,0.048,0.036
190.5,4.871e-01,6.210e-01,3.878e-01,1.496e+00,0.358,0.211,0.118,0.047,0.037
192.0,4.068e-01,6.105e-01,4.003e-01,1.418e+00,0.348,0.203,0.113,0.047,0.039
193.6,3.797e-01,5.757e-01,4.470e-01,1.402e+00,0.338,0.196,0.109,0.047,0.040
195.2,3.741e-01,5.044e-01,4.795e-01,1.358e+00,0.329,0.189,0.105,0.047,0.042
196.7,3.519e-01,4.533e-01,4.926e-01,1.298e+00,0.320,0.183,0.102,0.047,0.044
198.3,3.413e-01,4.312e-01,4.644e-01,1.237e+00,0.312,0.177,0.100,0.047,0.046
199.8,3.261e-01,3.888e-01,4.334e-01,1.148e+00,0.305,0.172,0.098,0.048,0.048
